ID,Lang,Blk,BlkTrlNum,TrlNum,Tar,Cue,TarPos,TarDir,Acc,RT
S106,M,B2,BT54,T150,Incongruent,Spatial,Above,Right,1,464.3
S106,M,B2,BT55,T151,Incongruent,Central,Above,Right,1,665.38
S106,M,B2,BT56,T152,Incongruent,Double,Above,Right,1,617.26
S106,M,B2,BT57,T153,Congruent,Central,Below,Left,1,553.17
S106,M,B2,BT58,T154,Congruent,None,Above,Left,1,485.1
S106,M,B2,BT59,T155,Incongruent,Spatial,Above,Left,1,461.16
S106,M,B2,BT60,T156,Incongruent,Central,Above,Left,1,602.95
S106,M,B2,BT61,T157,Incongruent,Spatial,Below,Right,1,581.96
S106,M,B2,BT62,T158,Incongruent,Spatial,Below,Left,1,700.08
S106,M,B2,BT63,T159,Congruent,None,Above,Right,1,700.87
S106,M,B2,BT64,T160,Congruent,Central,Above,Left,1,454.85
S106,M,B2,BT65,T161,Congruent,None,Above,Right,1,456.96
S106,M,B2,BT66,T162,Congruent,Spatial,Above,Left,1,377.48
S106,M,B2,BT67,T163,Congruent,Spatial,Above,Right,1,364.7
S106,M,B2,BT68,T164,Incongruent,None,Above,Left,1,599.45
S106,M,B2,BT69,T165,Congruent,Double,Above,Left,1,423.54
S106,M,B2,BT70,T166,Incongruent,Double,Above,Right,1,516.82
S106,M,B2,BT71,T167,Congruent,Double,Below,Right,1,579.82
S106,M,B2,BT72,T168,Congruent,Double,Below,Right,1,437.48
S106,M,B2,BT73,T169,Incongruent,Double,Below,Right,1,623.68
S106,M,B2,BT74,T170,Incongruent,Double,Below,Right,1,577.05
S106,M,B2,BT75,T171,Incongruent,None,Above,Left,1,725.1
S106,M,B2,BT76,T172,Incongruent,Central,Below,Right,1,601.72
S106,M,B2,BT77,T173,Incongruent,None,Below,Right,1,623.98
S106,M,B2,BT78,T174,Incongruent,None,Above,Left,0,540.11
S106,M,B2,BT79,T175,Congruent,Double,Above,Left,1,586.9
S106,M,B2,BT80,T176,Congruent,Central,Above,Right,1,593.72
S106,M,B2,BT81,T177,Congruent,Double,Below,Left,1,485
S106,M,B2,BT82,T178,Incongruent,None,Above,Right,1,624.34
S106,M,B2,BT83,T179,Incongruent,Spatial,Below,Left,1,582.01
S106,M,B2,BT84,T180,Incongruent,Spatial,Above,Left,1,543.12
S106,M,B2,BT85,T181,Incongruent,Central,Below,Right,1,577.08
S106,M,B2,BT86,T182,Incongruent,Double,Above,Left,1,534.75
S106,M,B2,BT87,T183,Congruent,Double,Below,Right,1,542.56
S106,M,B2,BT88,T184,Congruent,Central,Below,Right,1,401.5
S106,M,B2,BT89,T185,Congruent,None,Above,Left,1,544.7
S106,M,B2,BT90,T186,Congruent,None,Below,Right,1,488.5
S106,M,B2,BT91,T187,Congruent,None,Below,Right,1,508.74
S106,M,B2,BT92,T188,Incongruent,Double,Above,Left,1,583.14
S106,M,B2,BT93,T189,Incongruent,Double,Below,Left,1,660.44
S106,M,B2,BT94,T190,Congruent,Central,Above,Right,1,406.4
S106,M,B2,BT95,T191,Incongruent,Central,Above,Right,1,687
S106,M,B2,BT96,T192,Congruent,Double,Below,Left,1,456.12
S106,M,B3,BT1,T193,Congruent,Double,Below,Left,1,484.28
S106,M,B3,BT2,T194,Congruent,Central,Above,Left,1,476.38
S106,M,B3,BT3,T195,Congruent,Double,Above,Right,1,415.57
S106,M,B3,BT4,T196,Congruent,Central,Above,Right,1,461.24
S106,M,B3,BT5,T197,Congruent,Spatial,Below,Left,1,490.01
S106,M,B3,BT6,T198,Incongruent,Double,Above,Left,1,767.36
S106,M,B3,BT7,T199,Congruent,Double,Above,Right,1,652.39
S106,M,B3,BT8,T200,Congruent,Double,Above,Right,1,594.32
S106,M,B3,BT9,T201,Incongruent,Double,Below,Left,1,705.55
S106,M,B3,BT10,T202,Incongruent,Central,Below,Left,1,627.64
S106,M,B3,BT11,T203,Congruent,Central,Above,Left,1,467.52
S106,M,B3,BT12,T204,Congruent,Spatial,Above,Right,1,503.76
S106,M,B3,BT13,T205,Incongruent,Central,Below,Left,1,675.76
S106,M,B3,BT14,T206,Incongruent,Double,Below,Right,1,657.26
S106,M,B3,BT15,T207,Congruent,Spatial,Above,Right,1,500.95
S106,M,B3,BT16,T208,Incongruent,Central,Above,Right,1,606.42
S106,M,B3,BT17,T209,Congruent,Central,Below,Right,1,429.73
S106,M,B3,BT18,T210,Incongruent,None,Above,Left,0,464.74
S106,M,B3,BT19,T211,Incongruent,Central,Above,Right,1,729.63
S106,M,B3,BT20,T212,Incongruent,None,Above,Left,1,570.99
S106,M,B3,BT21,T213,Incongruent,Central,Above,Left,1,617.07
S106,M,B3,BT22,T214,Congruent,Double,Above,Left,1,526.83
S106,M,B3,BT23,T215,Incongruent,None,Below,Left,1,797.12
S106,M,B3,BT24,T216,Incongruent,None,Below,Right,1,704.87
S106,M,B3,BT25,T217,Congruent,Spatial,Below,Left,1,459.08
S106,M,B3,BT26,T218,Incongruent,None,Below,Left,1,557.55
S106,M,B3,BT27,T219,Congruent,Double,Above,Left,1,700.2
